Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-28-2018  7:49AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  DEM_0099.ngd
output file: DEM_0099_pad.csv
Part type:   xc2c256
Speed grade: -7
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P35,SSEG_7<2>,O,I/O/CDR,OUTPUT,LVCMOS18,1,,FAST,,,,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,CLK,GCK,I/O/GCK2,,LVCMOS18,1,,FAST,,,,
P39,SSEG_7<3>,O,I/O/DGE0,OUTPUT,LVCMOS18,1,,FAST,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,SSEG_7<4>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P42,SSEG_7<5>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P43,SSEG_7<6>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,KPR,,I/O,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,KPR,,I/O,,,1,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
P60,BTUP,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P61,BTDOWN,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,KPR,,I/O,,,1,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,KPR,,I/O,,,1,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,KPR,,I/O,,,1,,,,,,,
P69,KPR,,I/O,,,1,,,,,,,
P70,KPR,,I/O,,,1,,,,,,,
P71,KPR,,I/O,,,1,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P74,KPR,,I/O,,,1,,,,,,,
P75,KPR,,I/O,,,1,,,,,,,
P76,KPR,,I/O,,,1,,,,,,,
P77,SSEG_7<9>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P78,SSEG_7<10>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P79,KPR,,I/O,,,1,,,,,,,
P80,KPR,,I/O,,,1,,,,,,,
P81,SSEG_7<7>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P82,SSEG_7<8>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P83,KPR,,I/O,,,1,,,,,,,
P84,,VCC,VCC,,,,,,,,,,
P85,KPR,,I/O,,,1,,,,,,,
P86,KPR,,I/O,,,1,,,,,,,
P87,KPR,,I/O,,,1,,,,,,,
P88,KPR,,I/O,,,1,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,KPR,,I/O,,,1,,,,,,,
P92,KPR,,I/O,,,1,,,,,,,
P93,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P94,KPR,,I/O,,,2,,,,,,,
P95,KPR,,I/O,,,2,,,,,,,
P96,KPR,,I/O,,,2,,,,,,,
P97,KPR,,I/O,,,2,,,,,,,
P98,KPR,,I/O,,,2,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,KPR,,I/O,,,2,,,,,,,
P101,KPR,,I/O,,,2,,,,,,,
P102,KPR,,I/O,,,2,,,,,,,
P103,KPR,,I/O,,,2,,,,,,,
P104,KPR,,I/O,,,2,,,,,,,
P105,KPR,,I/O,,,2,,,,,,,
P106,KPR,,I/O,,,2,,,,,,,
P107,KPR,,I/O,,,2,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P110,KPR,,I/O,,,2,,,,,,,
P111,KPR,,I/O,,,2,,,,,,,
P112,KPR,,I/O,,,2,,,,,,,
P113,KPR,,I/O,,,2,,,,,,,
P114,KPR,,I/O,,,2,,,,,,,
P115,KPR,,I/O,,,2,,,,,,,
P116,KPR,,I/O,,,2,,,,,,,
P117,KPR,,I/O,,,2,,,,,,,
P118,KPR,,I/O,,,2,,,,,,,
P119,KPR,,I/O,,,2,,,,,,,
P120,KPR,,I/O,,,2,,,,,,,
P121,KPR,,I/O,,,2,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,KPR,,I/O/DGE1,,,2,,,,,,,
P125,KPR,,I/O,,,2,,,,,,,
P126,KPR,,I/O,,,2,,,,,,,
P127,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P128,KPR,,I/O,,,2,,,,,,,
P129,KPR,,I/O,,,2,,,,,,,
P130,KPR,,I/O,,,2,,,,,,,
P131,KPR,,I/O,,,2,,,,,,,
P132,KPR,,I/O,,,2,,,,,,,
P133,KPR,,I/O,,,2,,,,,,,
P134,KPR,,I/O,,,2,,,,,,,
P135,KPR,,I/O,,,2,,,,,,,
P136,KPR,,I/O,,,2,,,,,,,
P137,KPR,,I/O,,,2,,,,,,,
P138,KPR,,I/O,,,2,,,,,,,
P139,KPR,,I/O,,,2,,,,,,,
P140,KPR,,I/O,,,2,,,,,,,
P141,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P142,KPR,,I/O,,,2,,,,,,,
P143,KPR,,I/O/GSR,,,2,,,,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


